model_key,model_name,accuracy,f1_macro,f1_weighted
rf,Random Forest,0.8719211822660099,0.8785992782674414,0.8727810575024288
xgboost,XGBoost,0.8669950738916257,0.8707482198161799,0.8676778640697409
extratrees,Extra Trees,0.8571428571428571,0.8636898367522621,0.8571892643121716
mlp,MLP (Neural Network),0.7044334975369458,0.710293486764075,0.7015036396664911
logreg,Logistic Regression,0.6009852216748769,0.5952500658383011,0.5895489937796515
dummy,Dummy (most_frequent),0.39901477832512317,0.19014084507042253,0.2276070214389787
